Treatment,Days_Treatment,Gosner_Change,SVL_Change,Tail_Change,Mouth_Change,RHL_Change
Control,14,0,10,5,1,0
Control,14,0,0,-6,1,0
Control,14,0,2,6,3,0
Control,14,0,2,-5,2,0
Control,14,0,4,4,2,0
Control,14,0,6,1,0,0
Control,14,0,2,4,2,0
Control,14,0,5,-5,0,0
Control,14,2,10,5,-0.5,0.5
Control,14,3,3,4,0,3
Control,14,-2,4,0,1,-2
Control,14,3,0,1,1,1.5
Control,14,1,5,-12,-1.5,-0.5
Control,14,-1,0,6,0,-1
Control,14,-1,2,-1,0,-1
Control,14,1,1,4,-1,-2
Control,14,2,-1,9,1,0.5
Low,12,5,-3.5,-27.5,2,2
Low,14,15,-7,-2,1,16
Low,14,9,-7,-28,4,7
Low,14,8,-3,-25,3,5
Low,14,18,-4,-37,4,17
Low,14,8,-1,-19,3,7
Low,14,16,-6,-26,4,15
Low,12,5,-6,-25.5,5.5,5
Low,14,6,-4,-27,4,6
Low,12,6,5,-30,7,5
Low,14,17,-4,-23,6,13
Low,14,18,-5,-29,6,12
Low,12,6,-5,-35,8,5
Low,14,9,-7,-26,1,8
Low,14,16,-5,-26,2,4
Low,14,7,-5,-15,5,12
High,8,10,0,-19,3,13
High,8,8,-4,-18,0,4
High,8,6,-2,-22,1,6
High,10,5,-6,-27,2,3
High,10,5,-7,-32,2,3
High,14,10,-5,-6,8.5,12
High,14,17,-2,-35,8,11
High,14,13,-7,-32,6.5,6
High,8,5,1,-23,2,3
High,10,5,-4,-25,2,5
High,8,2,-3,-21,0,1
High,8,2,-4,-33,1,12
High,14,6,0,2,0,2
High,8,5,-4,-23,1,3
High,10,3,5.5,-27,2,7.5
High,10,6,-7.5,-25,2,7.5
High,14,8,-2,-3,3,6.5
High,10,5,-5,-30,3,2.5
High,8,1,-3,-19,2,1
